,index,price,color,likes,brand,Percentage discount,Rate,Fit,in sale,category,sex,color_encoded,brand_encoded,fabric types,Fit_encoded,category_encoded,sex_encoded,fabric types_encoded
136,557,166.89,black,325.0,adidas,40,0.0,regular fit,1,hoodies & sweatshirts,women,1,1,fabric,14,1,1,13
137,559,290.22,white,84.0,the north face,30,0.0,regular fit ,1,hoodies & sweatshirts,women,17,22,fabric,15,1,1,13
138,563,99.71,pink,231.0,adidas,50,4.6,relaxed fit ,1,hoodies & sweatshirts,women,13,1,fabric,18,1,1,2
139,564,165.32,white,264.0,adidas,49,4.0,relaxed fit,1,hoodies & sweatshirts,women,17,1,fleece,17,1,1,4
140,567,69.8,black,1000.0,asos design,29,3.8,relaxed fit,1,hoodies & sweatshirts,women,1,5,fabric,17,1,1,13
141,569,89.22,brown,199.0,collusion,39,4.4,unisex style,1,hoodies & sweatshirts,women,3,8,fabric,30,1,1,13
142,575,167.94,grey,795.0,adidas originals,19,0.0,regular fit,1,hoodies & sweatshirts,women,7,2,fabric,14,1,1,13
143,578,89.22,pink,841.0,miss selfridge,19,3.3,oversized fit,1,hoodies & sweatshirts,women,13,11,fabric,12,1,1,13
144,581,78.72,black,798.0,monki,50,0.0,relaxed fit,1,hoodies & sweatshirts,women,1,12,fabric,17,1,1,13
145,583,178.44,brown,279.0,asos design,19,0.0,oversized fit,1,hoodies & sweatshirts,women,3,5,fabric,12,1,1,13
146,587,152.19,black,155.0,adidas,39,0.0,designed to fit you from bump to baby,1,hoodies & sweatshirts,women,1,1,fabric,6,1,1,13
147,590,267.97,white,2000.0,nike,30,2.7,regular fit,1,hoodies & sweatshirts,women,17,16,fabric,14,1,1,13
148,594,131.2,cream,90.0,adidas,50,4.5,relaxed fit ,1,hoodies & sweatshirts,women,4,1,fabric,18,1,1,2
149,599,89.22,grey,358.0,asyou,39,3.6,oversized fit,1,hoodies & sweatshirts,women,7,6,fabric,12,1,1,13
150,600,157.44,black,95.0,adidas,40,4.9,relaxed fit,1,hoodies & sweatshirts,women,1,1,fabric,17,1,1,2
151,613,293.89,black,309.0,the north face,20,0.0,regular fit,1,hoodies & sweatshirts,women,1,22,fabric,14,1,1,13
152,615,244.04,grey,141.0,the north face,19,0.0,regular fit,1,hoodies & sweatshirts,women,7,22,fabric,14,1,1,13
153,618,230.92,grey,84.0,nike,19,0.0,regular fit,1,hoodies & sweatshirts,women,7,16,fabric,14,1,1,13
154,622,120.71,blue,1000.0,weekday,39,0.0,regular fit,1,hoodies & sweatshirts,women,2,28,fabric,14,1,1,13
155,629,188.93,red,676.0,adidas originals,19,0.0,regular fit,1,hoodies & sweatshirts,women,15,2,fabric,14,1,1,13
156,634,244.04,black,149.0,vans,19,0.0,regular fit,1,hoodies & sweatshirts,women,1,27,fabric,14,1,1,13
157,638,89.22,purple,754.0,collusion,18,4.8,unisex style,1,hoodies & sweatshirts,women,14,8,fabric,30,1,1,13
158,645,196.8,grey,945.0,under armour,29,5.0,regular fit,1,hoodies & sweatshirts,women,7,25,fabric,14,1,1,13
159,647,223.04,black,702.0,under armour,19,0.0,regular fit,1,hoodies & sweatshirts,women,1,25,fleece,14,1,1,4
160,649,167.94,blue,190.0,topshop,19,3.3,regular fit,1,hoodies & sweatshirts,women,2,24,fabric,14,1,1,13
161,659,44.61,white,306.0,asos design,64,0.0,relaxed fit,1,hoodies & sweatshirts,women,17,5,fabric,17,1,1,13
162,661,62.98,stone,218.0,topshop,59,0.0,regular fit ,1,hoodies & sweatshirts,women,16,24,jersey,15,1,1,5
163,663,62.98,green,100.0,asos design,59,4.5,oversized fit,1,hoodies & sweatshirts,women,6,5,fabric,12,1,1,2
164,665,200.74,black,364.0,nike,55,0.0,relaxed fit,1,hoodies & sweatshirts,women,1,16,fabric,17,1,1,2
165,668,125.95,grey,677.0,adidas,40,4.6,relaxed fit,1,hoodies & sweatshirts,women,7,1,fabric,17,1,1,13
166,671,83.97,blue,216.0,asos 4505,19,3.8,oversized fit,1,hoodies & sweatshirts,women,2,3,fabric,12,1,1,2
167,672,88.17,green,251.0,asos 4505,29,4.7,oversized fit,1,hoodies & sweatshirts,women,6,3,fabric,12,1,1,2
168,673,62.98,grey,819.0,collusion,39,3.3,unisex style,1,hoodies & sweatshirts,women,7,8,fabric,30,1,1,13
169,676,141.7,white,211.0,puma,39,4.4,regular fit ,1,hoodies & sweatshirts,women,17,19,fleece,15,1,1,4
170,679,249.28,grey,139.0,the north face,39,0.0,relaxed fit,1,hoodies & sweatshirts,women,7,22,fabric,17,1,1,2
171,683,178.44,black,151.0,puma,19,5.0,regular fit,1,hoodies & sweatshirts,women,1,19,fabric,14,1,1,2
172,686,68.23,cream,109.0,only,38,0.0,regular fit,1,hoodies & sweatshirts,women,4,18,fabric,14,1,1,13
173,693,170.56,white,739.0,adidas,24,4.8,regular fit,1,hoodies & sweatshirts,women,17,1,fabric,14,1,1,13
174,695,39.89,red,71.0,asyou,55,0.0,regular fit,1,hoodies & sweatshirts,women,15,6,fabric,14,1,1,2
175,698,76.1,grey,116.0,miss selfridge,41,3.3,relaxed fit,1,hoodies & sweatshirts,women,7,11,fabric,17,1,1,13
176,702,199.43,black,100.0,dickies,44,4.8,true to size,1,hoodies & sweatshirts,women,1,9,fabric,28,1,1,13
177,710,291.27,grey,197.0,the north face,19,0.0,regular fit,1,hoodies & sweatshirts,women,7,22,fabric,14,1,1,2
178,718,209.92,pink,2000.0,the north face,20,0.0,regular fit,1,hoodies & sweatshirts,women,13,22,fabric,14,1,1,13
179,719,419.85,white,356.0,napapijri,19,0.0,relaxed fit ,1,hoodies & sweatshirts,women,17,14,fabric,18,1,1,13
180,722,333.25,black,178.0,the north face,19,0.0,regular fit,1,hoodies & sweatshirts,women,1,22,fabric,14,1,1,13
181,725,167.94,cream,364.0,topshop,19,3.6,oversized fit,1,hoodies & sweatshirts,women,4,24,fabric,12,1,1,13
182,726,244.04,black,223.0,under armour,19,0.0,regular fit,1,hoodies & sweatshirts,women,1,25,fabric,14,1,1,13
183,727,238.79,black,112.0,vans,30,0.0,relaxed fit,1,hoodies & sweatshirts,women,1,27,fabric,17,1,1,13
184,731,199.43,blue,138.0,the north face,44,0.0,relaxed fit,1,hoodies & sweatshirts,women,2,22,fabric,17,1,1,13
185,732,125.95,white,360.0,urban revivo,39,0.0,regular fit,1,hoodies & sweatshirts,women,17,26,fabric,14,1,1,13
186,746,91.84,brown,105.0,na-kd,50,0.0,oversized fit,1,hoodies & sweatshirts,women,3,13,fabric,12,1,1,13
187,750,94.47,beige,138.0,na-kd,39,0.0,regular fit,1,hoodies & sweatshirts,women,0,13,fabric,14,1,1,13
188,753,199.43,black,78.0,under armour,39,0.0,regular fit,1,hoodies & sweatshirts,women,1,25,fabric,14,1,1,13
189,754,59.04,pink,63.0,monki,55,1.3,regular fit ,1,hoodies & sweatshirts,women,13,12,fabric,15,1,1,13
190,755,88.17,black,392.0,asos design,29,4.0,oversized fit,1,hoodies & sweatshirts,women,1,5,fabric,12,1,1,2
191,758,47.23,blue,56.0,asos design,43,3.7,relaxed fit,1,hoodies & sweatshirts,women,2,5,fabric,17,1,1,13
192,764,153.51,white,203.0,the north face,44,4.7,regular fit,1,hoodies & sweatshirts,women,17,22,fleece,14,1,1,4
193,776,199.43,grey,171.0,dickies,44,4.2,true to size,1,hoodies & sweatshirts,women,7,9,fabric,28,1,1,13
194,787,445.0,black,546.0,napapijri,0,0.0,regular fit,0,hoodies & sweatshirts,women,1,14,fabric,14,1,1,13
195,791,170.0,blue,170.0,topshop,0,0.0,regular fit,0,tops,women,2,24,fabric,14,5,1,13
196,794,240.0,black,204.0,vans,0,0.0,regular fit,0,tops,women,1,27,fabric,14,5,1,13
197,799,190.0,brown,159.0,topshop,0,0.0,slim fit,0,tops,women,3,24,fabric,23,5,1,13
198,802,94.47,multi,2000.0,asos curve,14,2.5,bodycon fit,1,tops,women,10,4,fabric,1,5,1,13
199,803,150.0,black,409.0,topshop,0,0.0,slim fit,0,tops,women,1,24,fabric,23,5,1,13
200,805,170.0,black,200.0,topshop,0,0.0,slim fit,0,tops,women,1,24,fabric,23,5,1,13
201,811,160.0,blue,457.0,na-kd,0,0.0,regular fit,0,tops,women,2,13,fabric,14,5,1,13
202,814,195.0,mid blue,314.0,vans,0,0.0,regular fit,0,tops,women,9,27,fabric,14,5,1,13
203,815,100.0,black,429.0,miss selfridge,0,0.0,slim fit,0,tops,women,1,11,fabric,23,5,1,13
204,816,145.0,multi,1000.0,collusion,0,0.0,regular fit,0,tops,women,10,8,fabric,14,5,1,13
205,819,157.44,green,395.0,river island,18,0.0,slim fit,1,tops,women,6,21,fabric,23,5,1,13
206,826,80.0,black,100.0,asyou,0,0.0,regular fit,0,tops,women,1,6,fabric,14,5,1,2
207,827,115.0,green,341.0,collusion,0,0.0,regular fit,0,tops,women,6,8,fabric,14,5,1,13
208,830,83.97,black,2000.0,new look,19,3.6,slim fit,1,tops,women,1,15,fabric,23,5,1,13
209,831,99.71,black,866.0,asos curve,13,0.0,bodycon fit,1,tops,women,1,4,fabric,1,5,1,13
210,833,290.0,multi,246.0,vans,0,0.0,regular fit,0,tops,women,10,27,fabric,14,5,1,13
211,834,81.35,white,756.0,asos design,18,0.0,skinny fit,1,tops,women,17,5,fabric,21,5,1,13
212,838,105.0,black,710.0,asyou,0,0.0,regular fit,0,tops,women,1,6,fabric,14,5,1,13
213,845,145.0,black,413.0,asos design,0,0.0,relaxed fit,0,tops,women,1,5,fabric,17,5,1,13
214,847,112.83,black,167.0,puma,14,0.0,regular fit,1,tops,women,1,19,fabric,14,5,1,2
215,849,100.0,multi,416.0,asos design,0,0.0,designed to fit cup sizes dd-g,0,tops,women,10,5,fabric,5,5,1,13
216,851,180.0,pink,184.0,the north face,0,0.0,relaxed fit,0,tops,women,13,22,fabric,17,5,1,13
217,852,170.0,black,829.0,topshop,0,0.0,bodycon fit,0,tops,women,1,24,fabric,1,5,1,13
218,860,140.0,black,1000.0,asos design,0,0.0,bodycon fit,0,tops,women,1,5,fabric,1,5,1,13
219,869,225.0,red,602.0,puma,0,0.0,regular fit,0,tops,women,15,19,fabric,14,5,1,13
220,870,120.0,multi,826.0,asos design,0,0.0,boxy fit,0,tops,women,10,5,fabric,2,5,1,13
221,873,130.0,black,646.0,asos curve,0,0.0,regular fit,0,tops,women,1,4,fabric,14,5,1,13
222,877,160.0,black,241.0,asos design,0,0.0,bodycon fit,0,tops,women,1,5,fabric,1,5,1,13
223,880,90.0,black,408.0,asos design,0,0.0,slim fit,0,tops,women,1,5,fabric,23,5,1,13
